активно;пп кат;slug;категория_ru;категория_en;категория_sr_latn;мсджр_категории_ru;мсджр_категории_en;мсджр_категории_latn
True;10;rolls;Роллы;Rolls;Rolni;10. Роллы🥢;10. Роллы🥢;10. Роллы🥢
True;11;futomaki;Футомаки;Futomaki;Futomaki;11. Футомаки;11. Футомаки;11. Футомаки
True;12;backed;Запеченные роллы;Baked rolls;Pećeni rolne;12. Запеченые роллы🍘;12. Запеченые роллы🍘;12. Запеченые роллы🍘
True;13;tempura;Горячие роллы (темпура);Hot rolls (tempura);Topli rollovi (tempura);13. Горячие роллы (темпура)🔥;13. Горячие роллы (темпура)🔥;13. Горячие роллы (темпура)🔥
True;14;sandochi;Сандочи;Sandoshi;Sandoči;14. Сандочи🍙;14. Сандочи🍙;14. Сандочи🍙
True;15;handrolls;Хэнд роллы;Hand rolls;Hand rollovi;15. Хэнд роллы 🌯;15. Хэнд роллы 🌯;15. Хэнд роллы 🌯
True;16;maki;Маки;Maki;Maki;16. Маки 🐉🥒🦐🐟;16. Маки 🐉🥒🦐🐟;16. Маки 🐉🥒🦐🐟
True;17;sushi;Суши и гунканы;Sushi & Gunkans;Sushi i gunkani;17. Суши и гунканы🍣;17. Суши и гунканы🍣;17. Суши и гунканы🍣
True;18;woks;Воки;Woks;Voki;18. Воки 🥡;18. Воки 🥡;18. Воки 🥡
True;19;soups;Супы;Soups;Supe;19. Супы🍲;19. Супы🍲;19. Супы🍲
True;20;vegan;Веган;Vegan;Vegan;20. Веган;20. Веган;20. Веган
True;21;extra;Доп;Extra;Dodaci;21. Доп;21. Доп;21. Доп
