Артикул,Активно,cat_slug,пп блюд,наименование_sr_latn,наименование_ru,наименование_en,описание_sr_latn,описание_ru,описание_en,Цена,Цена P1,Цена P2,вес/объем,кол-во в позиции,ед-цы кол-ва,ед-цы веса/объема,Ед. изм,Старая цена,vegan icon,hot icon,мсджр_наименование_ru,мсджр_наименование_en,мсджр_наименование_sr_latn,мсджр_описание_ru,мсджр_описание_en,мсджр_описание_sr_latn,,,Вес,Объем,ИСПРАВИТЬ!!!!,Приборы
001,1,rolls,1,Filadelfija,Филадельфия,Philadelphia,"pirinač, nori, sir, krastavac, losos","рис, нори, сыр, огурец, лосось","rice, nori, cheese, cucumber, salmon",1100,1430,880,300,8,шт,гр,шт.,,,TRUE,Ролл Филадельфия,,,,,,,,300 гр.,8 шт.,,1
002,1,rolls,2,Filadelfija Premium,Филадельфия Премиум,Philadelphia Premium,"pirinač, nori, sir, krastavac, avokado, losos","рис, нори, сыр, огурец, авокадо, лосось","rice, nori, cheese, cucumber, avocado, salmon",1400,1820,1120,300,8,шт,гр,шт.,,,,Филадельфия Премиум,,,,,,,,300 гр.,8 шт.,,1
003,1,rolls,3,Filadelfija Ebi,Филадельфия Эби,Philadelphia Ebi,"pirinač, nori, sir, krastavac, škampi, surimi","рис, нори, сыр, огурец, креветка, сурими","rice, nori, cheese, cucumber, shrimp, surimi",1100,1430,880,270,8,шт,гр,шт.,,,,Ролл Филадельфия эби,,,,,,,,280 гр.,8 шт.,,1
004,1,rolls,4,Filadelfija Tuna,Филадельфия Тунец,Philadelphia Tuna,"pirinač, nori, sir, krastavac, tuna","рис, нори, сыр, огурец, тунец","rice, nori, cheese, cucumber, tuna",1100,1430,880,280,8,шт,гр,шт.,,,,Ролл Филадельфия тунец,,,,,,,,280 гр.,8 шт.,,1
005,1,rolls,5,Filadelfija Tobiko,Филадельфия Тобико,Philadelphia Tobiko,"pirinač, nori, sir, krastavac, losos, tobiko kavijar","рис, нори, сыр, огурец, лосось, тобико","rice, nori, cheese, cucumber, salmon, tobiko caviar",1100,1430,880,280,8,шт,гр,шт.,,,,Ролл Филадельфия тобико,,,,,,,,280 гр.,8 шт.,,1
006,1,rolls,6,Kalifornija,Калифорния,California,"pirinač, nori, surimi, krastavac, tobiko kavijar","рис, нори, сурими, огурец, тобико","rice, nori, surimi, cucumber, tobiko caviar",1050,1365,840,280,8,шт,гр,шт.,,,,Ролл Калифорния,,,,,,,,280 гр.,8 шт.,,1
007,1,rolls,7,Kalifornija losos,Калифорния Лосось,California salmon,"pirinač, nori, losos, krastavac, tobiko kavijar","рис, нори, лосось, огурец, тобико","rice, nori, salmon, cucumber, tobiko caviar",1100,1430,880,280,8,шт,гр,шт.,,,,Ролл Калифорния лосось,,,,,,,,280 гр.,8 шт.,,1
008,1,rolls,8,Kalifornija škampi,Калифорния Креветка,California shrimp,"pirinač, nori, krastavac, škampi, surimi, tobiko kavijar","рис, нори, огурец, креветка, сурими, тобико","rice, nori, cucumber, shrimp, surimi, tobiko caviar",1100,1430,880,280,8,шт,гр,шт.,,,,Ролл Калифорния с креветкой,,,,,,,,280 гр.,8 шт.,,1
009,1,rolls,9,Tokio,Токио,Tokyo,"pirinač, nori, sir, krastavac, flambirani tartar od lososa sa spajsi sosom","рис, нори, сыр, огурец, опаленый тартар из лосося с острым соусом","rice, nori, cheese, cucumber, flambéed salmon tartare with spicy sauce",1200,1560,960,320,8,шт,гр,шт.,,,,Ролл Токио,,,,,,,,320 гр.,8 шт.,,1
010,1,rolls,10,Sakura,Сакура,Sakura,"pirinač, nori, sir, krastavac, flambirani surimi od krabe","рис, нори, сыр, огурец, опаленый крабовый сурими","rice, nori, cheese, cucumber, flambéed crab surimi",1100,1430,880,320,8,шт,гр,шт.,,,,Ролл Сакура,,,,,,,,320 гр.,8 шт.,,1
011,1,rolls,11,Vulkan,Вулкан,Volcano,"pirinač, nori, sir, krastavac, susam, flambirani tartar od lososa sa spajsi sosom","рис, нори, сыр, огурец, кунжут, опаленый тар тар из лосося с острым соусом","rice, nori, cheese, cucumber, sesame seeds, flambéed salmon tartare with spicy sauce",1200,1560,960,300,8,шт,гр,шт.,,,,Ролл Вулкан,,,,,,,,300 гр.,8 шт.,,1
012,1,rolls,12,Kranč,Кранч,Crunch,"pirinač, nori, škampi u tempuri, krastavac, terijaki sos, tobiko kavijar","рис, нори, креветка в темпуре, огурец, соус терияки, тобико","rice, nori, tempura shrimp, cucumber, teriyaki sauce, tobiko caviar",1100,1430,880,260,8,шт,гр,шт.,,,,Ролл Кранч,,,,,,,,280 гр.,8 шт.,,1
013,1,rolls,13,Kanada,Канада,Canada,"pirinač, nori, dimljena jegulja, sir, krastavac, unagi sos, susam","рис, нори, копченый угорь, сыр, огурец, унаги соус, кунжут","rice, nori, smoked eel, cheese, cucumber, unagi sauce, sesame seeds",1150,1495,920,280,8,шт,гр,шт.,,,,Ролл Канада,,,,,,,,280 гр.,8 шт.,,1
014,1,rolls,14,Bonito,Бонито,Bonito,"pirinač, nori, sir, krastavac, nastrugana tuna, dimljena jegulja","рис, нори, сыр, огурец, стружка тунца, копченый угорь","rice, nori, cheese, cucumber, shredded tuna, smoked eel",1100,1430,880,260,8,шт,гр,шт.,,,,Бонито ролл,,,,,,,,280 гр.,8 шт.,,1
015,1,rolls,15,Ebi surimi,Эби Сурими,Ebi surimi,"pirinač, nori, surimi, krastavac, škampi","рис, нори, сурими, огурец, креветка","rice, nori, surimi, cucumber, shrimp",1100,1430,880,280,8,шт,гр,шт.,,,,Ролл Эби сурими,,,,,,,,280 гр.,8 шт.,,1
016,1,rolls,16,Hokaido,Хокайдо,Hokkaido,"pirinač, nori, krastavac, losos, škampi, Tomato sarada sos","рис, нори, огурец, лосось, креветка, соус томата сарада","rice, nori, cucumber, salmon, shrimp, Tomato salad sauce",1100,1430,880,300,8,шт,гр,шт.,,,,Ролл Хоккайдо,,,,,,,,300 гр.,8 шт.,,1
017,1,rolls,17,Cezar,Цезарь,Caesar,"pirinač, nori, škampi u tempuri, zelena salata, sir, Cezar sos","рис, нори, креветка в темпуре, зеленый салат, сыр, соус Цезарь","rice, nori, tempura shrimp, lettuce, cheese, Caesar sauce",1100,1430,880,300,8,шт,гр,шт.,,,,Ролл Цезарь,,,,,,,,300 гр.,8 шт.,,1
